storm_id,storm_name,date,time,record_identifier,storm_type,latitude,longitude,max_sustained_wind_knots,min_central_pressure_mb,latitude_float,longitude_float
AL011851,UNNAMED,18510625,0000,,HU,28.0N,94.8W,80,-999,28.0,-94.8
AL011851,UNNAMED,18510625,0600,,HU,28.0N,95.4W,80,-999,28.0,-95.4
AL011851,UNNAMED,18510625,1200,,HU,28.0N,96.0W,80,-999,28.0,-96.0
AL011851,UNNAMED,18510625,1800,,HU,28.1N,96.5W,80,-999,28.1,-96.5
AL011851,UNNAMED,18510625,2100,L,HU,28.2N,96.8W,80,-999,28.2,-96.8
AL011851,UNNAMED,18510626,0000,,HU,28.2N,97.0W,70,-999,28.2,-97.0
AL011851,UNNAMED,18510626,0600,,TS,28.3N,97.6W,60,-999,28.3,-97.6
AL011851,UNNAMED,18510626,1200,,TS,28.4N,98.3W,60,-999,28.4,-98.3
AL011851,UNNAMED,18510626,1800,,TS,28.6N,98.9W,50,-999,28.6,-98.9
AL011851,UNNAMED,18510627,0000,,TS,29.0N,99.4W,50,-999,29.0,-99.4
AL011851,UNNAMED,18510627,0600,,TS,29.5N,99.8W,40,-999,29.5,-99.8
AL011851,UNNAMED,18510627,1200,,TS,30.0N,100.0W,40,-999,30.0,-100.0
AL011851,UNNAMED,18510627,1800,,TS,30.5N,100.1W,40,-999,30.5,-100.1
AL011851,UNNAMED,18510628,0000,,TS,31.0N,100.2W,40,-999,31.0,-100.2
AL021851,UNNAMED,18510705,1200,,HU,22.2N,97.6W,80,-999,22.2,-97.6
AL031851,UNNAMED,18510710,1200,,TS,12.0N,60.0W,50,-999,12.0,-60.0
AL041851,UNNAMED,18510816,0000,,TS,13.4N,48.0W,40,-999,13.4,-48.0
AL041851,UNNAMED,18510816,0600,,TS,13.7N,49.5W,40,-999,13.7,-49.5
AL041851,UNNAMED,18510816,1200,,TS,14.0N,51.0W,50,-999,14.0,-51.0
AL041851,UNNAMED,18510816,1800,,TS,14.4N,52.8W,50,-999,14.4,-52.8
AL041851,UNNAMED,18510817,0000,,TS,14.9N,54.6W,60,-999,14.9,-54.6
AL041851,UNNAMED,18510817,0600,,TS,15.4N,56.5W,60,-999,15.4,-56.5
AL041851,UNNAMED,18510817,1200,,HU,15.9N,58.5W,70,-999,15.9,-58.5
AL041851,UNNAMED,18510817,1800,,HU,16.1N,60.4W,70,-999,16.1,-60.4
AL041851,UNNAMED,18510818,0000,,HU,16.6N,62.5W,80,-999,16.6,-62.5
AL041851,UNNAMED,18510818,0600,,HU,16.9N,64.1W,80,-999,16.9,-64.1
AL041851,UNNAMED,18510818,1200,,HU,17.2N,66.0W,90,-999,17.2,-66.0
AL041851,UNNAMED,18510818,1800,,HU,17.6N,67.6W,90,-999,17.6,-67.6
AL041851,UNNAMED,18510819,0000,,HU,18.0N,69.3W,90,-999,18.0,-69.3
AL041851,UNNAMED,18510819,0600,,HU,18.4N,71.1W,70,-999,18.4,-71.1
AL041851,UNNAMED,18510819,1200,,TS,18.9N,72.6W,60,-999,18.9,-72.6
AL041851,UNNAMED,18510819,1800,,TS,19.4N,74.3W,60,-999,19.4,-74.3
AL041851,UNNAMED,18510820,0000,,HU,19.9N,75.9W,70,-999,19.9,-75.9
AL041851,UNNAMED,18510820,0600,,HU,20.5N,77.6W,70,-999,20.5,-77.6
AL041851,UNNAMED,18510820,1200,,HU,21.2N,79.0W,70,-999,21.2,-79.0
AL041851,UNNAMED,18510820,1800,,HU,21.9N,80.4W,70,-999,21.9,-80.4
AL041851,UNNAMED,18510821,0000,,TS,22.6N,81.4W,60,-999,22.6,-81.4
AL041851,UNNAMED,18510821,0600,,TS,23.2N,82.5W,60,-999,23.2,-82.5
AL041851,UNNAMED,18510821,1200,,HU,23.9N,83.6W,70,-999,23.9,-83.6
AL041851,UNNAMED,18510821,1800,,HU,24.4N,84.3W,70,-999,24.4,-84.3
AL041851,UNNAMED,18510822,0000,,HU,25.0N,84.9W,80,-999,25.0,-84.9
AL041851,UNNAMED,18510822,0600,,HU,25.6N,85.5W,80,-999,25.6,-85.5
AL041851,UNNAMED,18510822,1200,,HU,26.2N,86.0W,90,-999,26.2,-86.0
AL041851,UNNAMED,18510822,1800,,HU,26.8N,86.3W,90,-999,26.8,-86.3
AL041851,UNNAMED,18510823,0000,,HU,27.4N,86.5W,100,-999,27.4,-86.5
AL041851,UNNAMED,18510823,0600,,HU,28.0N,86.6W,100,-999,28.0,-86.6
AL041851,UNNAMED,18510823,1200,,HU,28.5N,86.6W,100,-999,28.5,-86.6
AL041851,UNNAMED,18510823,1800,,HU,29.6N,86.1W,100,-999,29.6,-86.1
AL041851,UNNAMED,18510823,2100,L,HU,30.1N,85.7W,100,-999,30.1,-85.7
AL041851,UNNAMED,18510824,0000,,HU,30.7N,85.1W,90,-999,30.7,-85.1
AL041851,UNNAMED,18510824,0600,,HU,31.6N,84.1W,70,-999,31.6,-84.1
AL041851,UNNAMED,18510824,1200,,TS,32.5N,83.0W,60,-999,32.5,-83.0
AL041851,UNNAMED,18510824,1800,,TS,33.4N,81.4W,50,-999,33.4,-81.4
AL041851,UNNAMED,18510825,0000,,TS,34.0N,80.0W,40,-999,34.0,-80.0
AL041851,UNNAMED,18510825,0600,,TS,34.8N,78.6W,40,-999,34.8,-78.6
AL041851,UNNAMED,18510825,1200,,TS,35.8N,77.0W,40,-999,35.8,-77.0
AL041851,UNNAMED,18510825,1800,,TS,36.8N,75.1W,40,-999,36.8,-75.1
AL041851,UNNAMED,18510826,0000,,TS,37.8N,73.6W,40,-999,37.8,-73.6
AL041851,UNNAMED,18510826,0600,,TS,38.9N,71.8W,40,-999,38.9,-71.8
AL041851,UNNAMED,18510826,1200,,TS,40.0N,70.0W,40,-999,40.0,-70.0
AL041851,UNNAMED,18510826,1800,,TS,41.3N,66.8W,40,-999,41.3,-66.8
AL041851,UNNAMED,18510827,0000,,TS,42.8N,63.3W,40,-999,42.8,-63.3
AL041851,UNNAMED,18510827,0600,,TS,44.5N,60.2W,40,-999,44.5,-60.2
AL041851,UNNAMED,18510827,1200,,TS,46.4N,57.2W,40,-999,46.4,-57.2
AL041851,UNNAMED,18510827,1800,,TS,48.5N,54.2W,40,-999,48.5,-54.2
AL051851,UNNAMED,18510913,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510913,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510913,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510913,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510914,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510915,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,0000,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,0600,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,1200,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL051851,UNNAMED,18510916,1800,,TS,32.5N,73.5W,50,-999,32.5,-73.5
AL061851,UNNAMED,18511016,0000,,TS,28.7N,78.0W,40,-999,28.7,-78.0
AL061851,UNNAMED,18511016,0600,,TS,29.1N,77.8W,40,-999,29.1,-77.8
AL061851,UNNAMED,18511016,1200,,TS,29.5N,77.5W,50,-999,29.5,-77.5
AL061851,UNNAMED,18511016,1800,,TS,30.1N,77.1W,50,-999,30.1,-77.1
AL061851,UNNAMED,18511017,0000,,TS,30.7N,76.6W,60,-999,30.7,-76.6
AL061851,UNNAMED,18511017,0600,,TS,31.2N,76.3W,60,-999,31.2,-76.3
AL061851,UNNAMED,18511017,1200,,TS,31.6N,75.9W,60,-999,31.6,-75.9
AL061851,UNNAMED,18511017,1800,,TS,32.0N,75.5W,60,-999,32.0,-75.5
AL061851,UNNAMED,18511018,0000,,TS,32.7N,74.9W,60,-999,32.7,-74.9
AL061851,UNNAMED,18511018,0600,,TS,33.3N,74.3W,60,-999,33.3,-74.3
AL061851,UNNAMED,18511018,1200,,TS,34.0N,73.8W,60,-999,34.0,-73.8
AL061851,UNNAMED,18511018,1800,,TS,35.3N,73.0W,60,-999,35.3,-73.0
AL061851,UNNAMED,18511019,0000,,TS,37.0N,72.6W,50,-999,37.0,-72.6
AL061851,UNNAMED,18511019,0600,,TS,38.5N,72.1W,50,-999,38.5,-72.1
AL061851,UNNAMED,18511019,1200,,TS,40.2N,71.8W,50,-999,40.2,-71.8
AL061851,UNNAMED,18511019,1500,L,TS,41.1N,71.7W,50,-999,41.1,-71.7
AL061851,UNNAMED,18511019,1800,,TS,42.0N,71.6W,40,-999,42.0,-71.6
AL011852,UNNAMED,18520819,0000,,TS,20.5N,67.1W,60,-999,20.5,-67.1
AL011852,UNNAMED,18520819,0600,,TS,20.7N,68.0W,60,-999,20.7,-68.0
AL011852,UNNAMED,18520819,1200,,TS,20.9N,68.8W,60,-999,20.9,-68.8
AL011852,UNNAMED,18520819,1800,,TS,21.1N,69.6W,60,-999,21.1,-69.6
AL011852,UNNAMED,18520820,0000,,HU,21.2N,70.6W,70,-999,21.2,-70.6
AL011852,UNNAMED,18520820,0600,,HU,21.5N,71.9W,70,-999,21.5,-71.9
AL011852,UNNAMED,18520820,1200,,HU,21.7N,73.0W,70,-999,21.7,-73.0
AL011852,UNNAMED,18520820,1800,,HU,21.9N,74.0W,70,-999,21.9,-74.0
AL011852,UNNAMED,18520821,0000,,HU,22.1N,74.9W,80,-999,22.1,-74.9
AL011852,UNNAMED,18520821,0600,,HU,22.2N,76.1W,80,-999,22.2,-76.1
AL011852,UNNAMED,18520821,1200,,HU,22.6N,77.1W,80,-999,22.6,-77.1
AL011852,UNNAMED,18520821,1800,,HU,22.9N,78.1W,80,-999,22.9,-78.1
AL011852,UNNAMED,18520822,0000,,HU,23.2N,79.3W,90,-999,23.2,-79.3
AL011852,UNNAMED,18520822,0600,,HU,23.5N,80.1W,90,-999,23.5,-80.1
AL011852,UNNAMED,18520822,1200,,HU,23.8N,81.1W,90,-999,23.8,-81.1
AL011852,UNNAMED,18520822,1800,,HU,24.2N,82.1W,90,-999,24.2,-82.1
AL011852,UNNAMED,18520823,0000,,HU,24.7N,83.1W,90,-999,24.7,-83.1
AL011852,UNNAMED,18520823,0600,,HU,25.2N,83.9W,90,-999,25.2,-83.9
AL011852,UNNAMED,18520823,1200,,HU,25.7N,84.6W,90,-999,25.7,-84.6
AL011852,UNNAMED,18520823,1800,,HU,26.2N,85.3W,90,-999,26.2,-85.3
AL011852,UNNAMED,18520824,0000,,HU,26.7N,86.0W,100,-999,26.7,-86.0
AL011852,UNNAMED,18520824,0600,,HU,27.2N,86.6W,100,-999,27.2,-86.6
AL011852,UNNAMED,18520824,1200,,HU,27.7N,87.1W,100,-999,27.7,-87.1
AL011852,UNNAMED,18520824,1800,,HU,28.2N,87.5W,100,-999,28.2,-87.5
AL011852,UNNAMED,18520825,0000,,HU,28.6N,87.8W,100,-999,28.6,-87.8
AL011852,UNNAMED,18520825,0600,,HU,28.8N,88.0W,100,-999,28.8,-88.0
AL011852,UNNAMED,18520825,1200,,HU,29.1N,88.2W,100,-999,29.1,-88.2
AL011852,UNNAMED,18520825,1800,,HU,29.4N,88.4W,100,-999,29.4,-88.4
AL011852,UNNAMED,18520826,0000,,HU,29.8N,88.6W,100,-999,29.8,-88.6
AL011852,UNNAMED,18520826,0600,L,HU,30.2N,88.6W,100,961,30.2,-88.6
AL011852,UNNAMED,18520826,1200,,HU,30.6N,88.5W,90,-999,30.6,-88.5
AL011852,UNNAMED,18520826,1800,,HU,31.2N,88.1W,70,-999,31.2,-88.1
AL011852,UNNAMED,18520827,0000,,TS,31.8N,87.4W,50,-999,31.8,-87.4
AL011852,UNNAMED,18520827,0600,,TS,32.3N,86.3W,40,-999,32.3,-86.3
AL011852,UNNAMED,18520827,1200,,TS,32.8N,84.8W,40,-999,32.8,-84.8
AL011852,UNNAMED,18520827,1800,,TS,33.2N,82.8W,40,-999,33.2,-82.8
AL011852,UNNAMED,18520828,0000,,TS,33.5N,80.5W,40,-999,33.5,-80.5
AL011852,UNNAMED,18520828,0600,,TS,33.8N,78.2W,40,-999,33.8,-78.2
AL011852,UNNAMED,18520828,1200,,TS,34.0N,76.0W,40,-999,34.0,-76.0
AL011852,UNNAMED,18520828,1800,,TS,34.4N,74.2W,40,-999,34.4,-74.2
AL011852,UNNAMED,18520829,0000,,TS,35.2N,72.8W,50,-999,35.2,-72.8
AL011852,UNNAMED,18520829,0600,,TS,36.4N,71.8W,50,-999,36.4,-71.8
AL011852,UNNAMED,18520829,1200,,TS,38.0N,70.8W,50,-999,38.0,-70.8
AL011852,UNNAMED,18520829,1800,,TS,39.6N,69.6W,50,-999,39.6,-69.6
AL011852,UNNAMED,18520830,0000,,TS,41.0N,68.0W,50,-999,41.0,-68.0
AL021852,UNNAMED,18520905,0000,,HU,17.0N,64.1W,70,-999,17.0,-64.1
AL021852,UNNAMED,18520905,0600,,HU,17.4N,65.1W,70,-999,17.4,-65.1
AL021852,UNNAMED,18520905,1200,,HU,17.7N,66.1W,70,-999,17.7,-66.1
AL021852,UNNAMED,18520905,1800,,TS,18.2N,67.1W,60,-999,18.2,-67.1
AL021852,UNNAMED,18520906,0000,,TS,18.6N,68.8W,60,-999,18.6,-68.8
AL021852,UNNAMED,18520906,0600,,TS,19.2N,70.1W,50,-999,19.2,-70.1
AL021852,UNNAMED,18520906,1200,,TS,19.5N,71.4W,40,-999,19.5,-71.4
AL021852,UNNAMED,18520906,1800,,TS,19.7N,72.5W,40,-999,19.7,-72.5
AL031852,UNNAMED,18520909,0000,,HU,26.4N,90.4W,70,-999,26.4,-90.4
AL031852,UNNAMED,18520909,0600,,HU,26.5N,89.6W,70,-999,26.5,-89.6
AL031852,UNNAMED,18520909,1200,,HU,26.6N,88.8W,70,-999,26.6,-88.8
AL031852,UNNAMED,18520909,1800,,HU,26.6N,88.1W,70,-999,26.6,-88.1
AL031852,UNNAMED,18520910,0000,,HU,26.8N,87.4W,70,-999,26.8,-87.4
AL031852,UNNAMED,18520910,0600,,HU,26.9N,86.6W,70,-999,26.9,-86.6
AL031852,UNNAMED,18520910,1200,,HU,27.1N,86.1W,70,-999,27.1,-86.1
AL031852,UNNAMED,18520910,1800,,HU,27.3N,85.6W,70,-999,27.3,-85.6
AL031852,UNNAMED,18520911,0000,,HU,27.5N,85.1W,70,-999,27.5,-85.1
AL031852,UNNAMED,18520911,0600,,HU,27.7N,84.6W,70,-999,27.7,-84.6
AL031852,UNNAMED,18520911,1200,,HU,27.8N,84.0W,70,-999,27.8,-84.0
AL031852,UNNAMED,18520911,1800,,HU,27.9N,83.4W,70,-999,27.9,-83.4
AL031852,UNNAMED,18520912,0000,L,HU,28.0N,82.8W,70,-999,28.0,-82.8
AL031852,UNNAMED,18520912,0600,,TS,28.1N,82.2W,60,-999,28.1,-82.2
AL031852,UNNAMED,18520912,1200,,TS,28.2N,81.5W,50,-999,28.2,-81.5
AL031852,UNNAMED,18520912,1800,,TS,28.5N,80.5W,50,-999,28.5,-80.5
AL031852,UNNAMED,18520913,0000,,TS,29.2N,79.0W,60,-999,29.2,-79.0
AL031852,UNNAMED,18520913,0600,,HU,30.4N,77.0W,70,-999,30.4,-77.0
AL031852,UNNAMED,18520913,1200,,HU,32.0N,74.5W,70,-999,32.0,-74.5
AL031852,UNNAMED,18520913,1800,,HU,34.0N,71.5W,70,-999,34.0,-71.5
AL041852,UNNAMED,18520922,0000,,TS,16.1N,58.5W,50,-999,16.1,-58.5
AL041852,UNNAMED,18520922,0600,,TS,16.4N,59.1W,50,-999,16.4,-59.1
AL041852,UNNAMED,18520922,1200,,TS,16.7N,59.7W,50,-999,16.7,-59.7
AL041852,UNNAMED,18520922,1800,,TS,17.0N,60.3W,50,-999,17.0,-60.3
AL041852,UNNAMED,18520923,0000,,TS,17.4N,61.2W,60,-999,17.4,-61.2
AL041852,UNNAMED,18520923,0600,,TS,17.7N,62.2W,60,-999,17.7,-62.2
AL041852,UNNAMED,18520923,1200,,HU,18.1N,63.1W,70,-999,18.1,-63.1
AL041852,UNNAMED,18520923,1800,,HU,18.4N,63.7W,70,-999,18.4,-63.7
AL041852,UNNAMED,18520924,0000,,HU,18.7N,64.3W,70,-999,18.7,-64.3
AL041852,UNNAMED,18520924,0600,,HU,18.9N,65.0W,70,-999,18.9,-65.0
AL041852,UNNAMED,18520924,1200,,HU,19.1N,65.8W,70,-999,19.1,-65.8
AL041852,UNNAMED,18520924,1800,,HU,19.2N,66.6W,70,-999,19.2,-66.6
AL041852,UNNAMED,18520925,0000,,HU,19.5N,67.4W,80,-999,19.5,-67.4
AL041852,UNNAMED,18520925,0600,,HU,19.7N,68.1W,80,-999,19.7,-68.1
AL041852,UNNAMED,18520925,1200,,HU,19.9N,68.8W,80,-999,19.9,-68.8
AL041852,UNNAMED,18520925,1800,,HU,20.0N,69.6W,80,-999,20.0,-69.6
AL041852,UNNAMED,18520926,0000,,HU,20.1N,70.3W,80,-999,20.1,-70.3
AL041852,UNNAMED,18520926,0600,,HU,20.4N,70.9W,80,-999,20.4,-70.9
AL041852,UNNAMED,18520926,1200,,HU,20.7N,71.6W,80,-999,20.7,-71.6
AL041852,UNNAMED,18520926,1800,,HU,21.0N,72.1W,80,-999,21.0,-72.1
AL041852,UNNAMED,18520927,0000,,HU,21.4N,73.0W,80,-999,21.4,-73.0
AL041852,UNNAMED,18520927,0600,,HU,21.9N,73.6W,80,-999,21.9,-73.6
AL041852,UNNAMED,18520927,1200,,HU,22.5N,74.0W,80,-999,22.5,-74.0
AL041852,UNNAMED,18520927,1800,,HU,23.2N,74.4W,80,-999,23.2,-74.4
AL041852,UNNAMED,18520928,0000,,HU,23.9N,74.6W,80,-999,23.9,-74.6
AL041852,UNNAMED,18520928,0600,,HU,24.6N,74.6W,80,-999,24.6,-74.6
AL041852,UNNAMED,18520928,1200,,HU,25.4N,74.5W,80,-999,25.4,-74.5
AL041852,UNNAMED,18520928,1800,,HU,26.5N,74.0W,80,-999,26.5,-74.0
AL041852,UNNAMED,18520929,0000,,HU,27.4N,73.5W,80,-999,27.4,-73.5
AL041852,UNNAMED,18520929,0600,,HU,28.2N,72.9W,80,-999,28.2,-72.9
AL041852,UNNAMED,18520929,1200,,HU,29.0N,72.3W,80,-999,29.0,-72.3
AL041852,UNNAMED,18520929,1800,,HU,30.2N,71.5W,80,-999,30.2,-71.5
AL041852,UNNAMED,18520930,0000,,HU,31.6N,70.5W,70,-999,31.6,-70.5
AL041852,UNNAMED,18520930,0600,,HU,32.7N,69.6W,70,-999,32.7,-69.6
AL041852,UNNAMED,18520930,1200,,HU,33.8N,69.1W,70,-999,33.8,-69.1
AL041852,UNNAMED,18520930,1800,,HU,34.9N,68.6W,70,-999,34.9,-68.6
AL051852,UNNAMED,18521006,0000,,HU,17.0N,73.8W,90,-999,17.0,-73.8
AL051852,UNNAMED,18521006,0600,,HU,17.1N,75.0W,90,-999,17.1,-75.0
AL051852,UNNAMED,18521006,1200,,HU,17.2N,76.3W,90,-999,17.2,-76.3
AL051852,UNNAMED,18521006,1800,,HU,17.2N,77.8W,90,-999,17.2,-77.8
AL051852,UNNAMED,18521007,0000,,HU,17.7N,79.6W,90,-999,17.7,-79.6
AL051852,UNNAMED,18521007,0600,,HU,18.2N,81.5W,90,-999,18.2,-81.5
AL051852,UNNAMED,18521007,1200,,HU,18.7N,83.1W,90,-999,18.7,-83.1
AL051852,UNNAMED,18521007,1800,,HU,19.5N,84.4W,90,-999,19.5,-84.4
AL051852,UNNAMED,18521008,0000,,HU,20.4N,85.5W,90,-999,20.4,-85.5
AL051852,UNNAMED,18521008,0600,,HU,21.2N,86.4W,90,-999,21.2,-86.4
AL051852,UNNAMED,18521008,1200,,HU,22.4N,86.9W,90,-999,22.4,-86.9
AL051852,UNNAMED,18521008,1800,,HU,24.0N,86.8W,90,-999,24.0,-86.8
AL051852,UNNAMED,18521009,0000,,HU,25.6N,86.4W,90,-999,25.6,-86.4
AL051852,UNNAMED,18521009,0600,,HU,26.9N,85.9W,90,-999,26.9,-85.9
AL051852,UNNAMED,18521009,1200,,HU,28.0N,85.5W,90,-999,28.0,-85.5
AL051852,UNNAMED,18521009,1800,,HU,29.2N,84.9W,90,-999,29.2,-84.9
AL051852,UNNAMED,18521009,2100,L,HU,29.9N,84.4W,90,-999,29.9,-84.4
AL051852,UNNAMED,18521010,0000,,HU,30.5N,83.9W,80,-999,30.5,-83.9
AL051852,UNNAMED,18521010,0600,,TS,31.8N,82.8W,60,-999,31.8,-82.8
AL051852,UNNAMED,18521010,1200,,TS,33.0N,81.1W,50,-999,33.0,-81.1
AL051852,UNNAMED,18521010,1800,,TS,34.0N,79.5W,50,-999,34.0,-79.5
AL051852,UNNAMED,18521011,0000,,TS,35.0N,77.0W,50,-999,35.0,-77.0
AL051852,UNNAMED,18521011,0600,,TS,36.0N,74.0W,50,-999,36.0,-74.0
AL051852,UNNAMED,18521011,1200,,TS,38.0N,70.0W,60,-999,38.0,-70.0
AL051852,UNNAMED,18521011,1800,,TS,40.0N,66.0W,60,-999,40.0,-66.0
AL011853,UNNAMED,18530805,1200,,TS,32.5N,69.0W,50,-999,32.5,-69.0
AL021853,UNNAMED,18530810,1200,,TS,12.0N,60.0W,40,-999,12.0,-60.0
AL031853,UNNAMED,18530830,0000,,TS,12.1N,23.2W,40,-999,12.1,-23.2
AL031853,UNNAMED,18530830,0600,,TS,12.3N,25.1W,40,-999,12.3,-25.1
AL031853,UNNAMED,18530830,1200,,TS,12.5N,27.0W,40,-999,12.5,-27.0
AL031853,UNNAMED,18530830,1800,,TS,12.8N,28.9W,40,-999,12.8,-28.9
AL031853,UNNAMED,18530831,0000,,TS,13.0N,30.9W,50,-999,13.0,-30.9
AL031853,UNNAMED,18530831,0600,,TS,13.3N,33.0W,50,-999,13.3,-33.0
AL031853,UNNAMED,18530831,1200,,TS,13.6N,35.0W,60,-999,13.6,-35.0
AL031853,UNNAMED,18530831,1800,,TS,13.9N,36.8W,60,-999,13.9,-36.8
AL031853,UNNAMED,18530901,0000,,HU,14.2N,38.5W,70,-999,14.2,-38.5
AL031853,UNNAMED,18530901,0600,,HU,14.6N,40.5W,70,-999,14.6,-40.5
AL031853,UNNAMED,18530901,1200,,HU,14.9N,42.3W,80,-999,14.9,-42.3
AL031853,UNNAMED,18530901,1800,,HU,15.2N,43.9W,80,-999,15.2,-43.9
AL031853,UNNAMED,18530902,0000,,HU,15.7N,45.7W,90,-999,15.7,-45.7
AL031853,UNNAMED,18530902,0600,,HU,16.2N,47.3W,90,-999,16.2,-47.3
AL031853,UNNAMED,18530902,1200,,HU,16.7N,49.0W,100,-999,16.7,-49.0
AL031853,UNNAMED,18530902,1800,,HU,17.4N,51.0W,110,-999,17.4,-51.0
AL031853,UNNAMED,18530903,0000,,HU,18.2N,52.8W,120,-999,18.2,-52.8
AL031853,UNNAMED,18530903,0600,,HU,19.1N,54.6W,130,-999,19.1,-54.6
AL031853,UNNAMED,18530903,1200,,HU,19.7N,56.2W,130,924,19.7,-56.2
AL031853,UNNAMED,18530903,1800,,HU,20.7N,58.0W,130,-999,20.7,-58.0
AL031853,UNNAMED,18530904,0000,,HU,21.2N,59.9W,120,-999,21.2,-59.9
AL031853,UNNAMED,18530904,0600,,HU,22.0N,61.8W,120,-999,22.0,-61.8
AL031853,UNNAMED,18530904,1200,,HU,22.7N,63.7W,120,-999,22.7,-63.7
AL031853,UNNAMED,18530904,1800,,HU,23.4N,65.3W,120,-999,23.4,-65.3
AL031853,UNNAMED,18530905,0000,,HU,24.2N,67.1W,120,-999,24.2,-67.1
AL031853,UNNAMED,18530905,0600,,HU,25.0N,68.6W,120,-999,25.0,-68.6
AL031853,UNNAMED,18530905,1200,,HU,25.8N,70.1W,120,-999,25.8,-70.1
AL031853,UNNAMED,18530905,1800,,HU,26.6N,71.1W,120,-999,26.6,-71.1
AL031853,UNNAMED,18530906,0000,,HU,27.3N,72.0W,120,-999,27.3,-72.0
AL031853,UNNAMED,18530906,0600,,HU,28.2N,72.9W,120,-999,28.2,-72.9
AL031853,UNNAMED,18530906,1200,,HU,29.1N,73.5W,120,-999,29.1,-73.5
AL031853,UNNAMED,18530906,1800,,HU,30.2N,74.0W,120,-999,30.2,-74.0
AL031853,UNNAMED,18530907,0000,,HU,31.2N,74.3W,110,-999,31.2,-74.3
AL031853,UNNAMED,18530907,0600,,HU,32.5N,74.1W,110,-999,32.5,-74.1
AL031853,UNNAMED,18530907,1200,,HU,33.7N,73.9W,100,-999,33.7,-73.9
AL031853,UNNAMED,18530907,1800,,HU,34.9N,72.9W,100,-999,34.9,-72.9
AL031853,UNNAMED,18530908,0000,,HU,36.0N,71.6W,100,-999,36.0,-71.6
AL031853,UNNAMED,18530908,0600,,HU,36.8N,69.9W,100,-999,36.8,-69.9
AL031853,UNNAMED,18530908,1200,,HU,37.5N,67.9W,100,-999,37.5,-67.9
AL031853,UNNAMED,18530908,1800,,HU,38.2N,65.4W,100,-999,38.2,-65.4
AL031853,UNNAMED,18530909,0000,,HU,39.0N,62.3W,100,-999,39.0,-62.3
AL031853,UNNAMED,18530909,0600,,HU,39.9N,59.4W,90,-999,39.9,-59.4
AL031853,UNNAMED,18530909,1200,,HU,40.8N,56.8W,80,-999,40.8,-56.8
AL031853,UNNAMED,18530909,1800,,HU,41.9N,53.4W,70,-999,41.9,-53.4
AL031853,UNNAMED,18530910,0000,,HU,42.9N,49.5W,70,-999,42.9,-49.5
AL031853,UNNAMED,18530910,0600,,HU,43.9N,45.5W,70,-999,43.9,-45.5
AL031853,UNNAMED,18530910,1200,,HU,45.0N,41.2W,70,-999,45.0,-41.2
AL031853,UNNAMED,18530910,1800,,HU,46.2N,36.2W,70,-999,46.2,-36.2
AL041853,UNNAMED,18530908,0000,,HU,37.0N,53.0W,100,-999,37.0,-53.0
AL041853,UNNAMED,18530908,0600,,HU,38.0N,51.0W,100,-999,38.0,-51.0
AL041853,UNNAMED,18530908,1200,,HU,39.0N,49.0W,100,-999,39.0,-49.0
AL041853,UNNAMED,18530908,1800,,HU,40.0N,46.8W,100,-999,40.0,-46.8
AL041853,UNNAMED,18530909,0000,,HU,41.3N,44.0W,100,-999,41.3,-44.0
AL041853,UNNAMED,18530909,0600,,HU,42.5N,41.5W,100,-999,42.5,-41.5
AL041853,UNNAMED,18530909,1200,,HU,43.4N,39.3W,100,-999,43.4,-39.3
AL041853,UNNAMED,18530909,1800,,HU,44.5N,37.2W,100,-999,44.5,-37.2
AL041853,UNNAMED,18530910,0000,,HU,45.5N,34.7W,100,-999,45.5,-34.7
AL041853,UNNAMED,18530910,0600,,HU,46.3N,32.3W,100,-999,46.3,-32.3
AL041853,UNNAMED,18530910,1200,,HU,47.0N,30.0W,90,-999,47.0,-30.0
AL041853,UNNAMED,18530910,1800,,HU,48.0N,27.5W,90,-999,48.0,-27.5
AL051853,UNNAMED,18530921,1200,,TS,20.0N,95.0W,50,-999,20.0,-95.0
AL061853,UNNAMED,18530926,0000,,TS,25.8N,62.0W,50,-999,25.8,-62.0
